var_id,category,sub_category,data_type,parent_key,key,is_required
10027,MAIN_PACKAGE,STREAMLINE,number,null,BLOCKS_TRANSACTIONS_HISTORY_WORKER_BATCH_SIZE,false
10028,MAIN_PACKAGE,STREAMLINE,number,null,RECEIPTS_HISTORY_SQL_LIMIT,false
10029,MAIN_PACKAGE,STREAMLINE,number,null,RECEIPTS_HISTORY_PRODUCER_BATCH_SIZE,false
10030,MAIN_PACKAGE,STREAMLINE,number,null,RECEIPTS_HISTORY_WORKER_BATCH_SIZE,false
10031,MAIN_PACKAGE,STREAMLINE,number,null,TRACES_HISTORY_SQL_LIMIT,false
10032,MAIN_PACKAGE,STREAMLINE,number,null,TRACES_HISTORY_PRODUCER_BATCH_SIZE,false
10033,MAIN_PACKAGE,STREAMLINE,number,null,TRACES_HISTORY_WORKER_BATCH_SIZE,false
10034,MAIN_PACKAGE,STREAMLINE,string,null,TRACES_HISTORY_ORDER_BY_CLAUSE,false
10035,MAIN_PACKAGE,STREAMLINE,number,null,CONFIRM_BLOCKS_HISTORY_SQL_LIMIT,false
10036,MAIN_PACKAGE,STREAMLINE,number,null,CONFIRM_BLOCKS_HISTORY_PRODUCER_BATCH_SIZE,false
10037,MAIN_PACKAGE,STREAMLINE,number,null,CONFIRM_BLOCKS_HISTORY_WORKER_BATCH_SIZE,false
10038,MAIN_PACKAGE,STREAMLINE,string,null,CONFIRM_BLOCKS_HISTORY_ORDER_BY_CLAUSE,false
10039,MAIN_PACKAGE,STREAMLINE,boolean,null,BLOCKS_TRANSACTIONS_COMPLETE_FULL_REFRESH,false
10040,MAIN_PACKAGE,STREAMLINE,boolean,null,RECEIPTS_COMPLETE_FULL_REFRESH,false
10041,MAIN_PACKAGE,STREAMLINE,boolean,null,TRACES_COMPLETE_FULL_REFRESH,false
10042,MAIN_PACKAGE,STREAMLINE,boolean,null,CONFIRM_BLOCKS_COMPLETE_FULL_REFRESH,false
10043,MAIN_PACKAGE,PRICES,string,null,PRICES_NATIVE_SYMBOLS,true
10044,MAIN_PACKAGE,PRICES,string,null,PRICES_PROVIDER_PLATFORMS,true
10045,MAIN_PACKAGE,OBSERVABILITY,boolean,null,OBSERV_USES_EXCLUSION_LIST_BLOCKS,false
10046,MAIN_PACKAGE,OBSERVABILITY,boolean,null,OBSERV_USES_EXCLUSION_LIST_TRANSACTIONS,false
10047,MAIN_PACKAGE,OBSERVABILITY,boolean,null,OBSERV_USES_EXCLUSION_LIST_RECEIPTS,false
10048,MAIN_PACKAGE,OBSERVABILITY,boolean,null,OBSERV_USES_EXCLUSION_LIST_LOGS,false
10049,MAIN_PACKAGE,OBSERVABILITY,boolean,null,OBSERV_USES_EXCLUSION_LIST_TRACES,false
10050,DECODER_PACKAGE,ABIS,string,null,BLOCK_EXPLORER_NAME,true
10051,DECODER_PACKAGE,ABIS,string,null,BLOCK_EXPLORER_ABI_URL,true
10052,DECODER_PACKAGE,ABIS,string,null,BLOCK_EXPLORER_ABI_API_KEY_PATH,true
10053,DECODER_PACKAGE,DECODED_LOGS,number,null,DECODED_LOGS_REALTIME_TESTING_LIMIT,false
10054,DECODER_PACKAGE,DECODED_LOGS,number,null,DECODED_LOGS_HISTORY_TESTING_LIMIT,false
10055,CURATED_PACKAGE,VERTEX,string,null,OFFCHAIN_EXCHANGE_CONTRACT,true
10056,CURATED_PACKAGE,VERTEX,string,null,CLEARINGHOUSE_CONTRACT,true
10057,CURATED_PACKAGE,VERTEX,string,TOKEN_MAPPING,USDC,true
10058,CURATED_PACKAGE,VERTEX,string,TOKEN_MAPPING,wMNT,true
10059,CURATED_PACKAGE,VERTEX,string,TOKEN_MAPPING,METH,true
10060,CURATED_PACKAGE,VERTEX,string,TOKEN_MAPPING,WETH,true
